pertanyaan,jawaban
Apa yang menjadi tujuan utama dari Peraturan Pemerintah Nomor 51 Tahun 2023?,"Untuk mengubah ketentuan mengenai upah minimum dalam PP No. 36 Tahun 2021 agar sesuai dengan UU Cipta Kerja, menjaga daya beli buruh, dan menyesuaikan dinamika ketenagakerjaan."
Siapa yang berhak mendapatkan upah minimum menurut Pasal 24 ayat (1)?,Pekerja atau buruh dengan masa kerja kurang dari 1 tahun pada perusahaan yang bersangkutan.
Kapan pekerja dengan masa kerja kurang dari 1 tahun bisa mendapat upah lebih dari minimum?,Jika pekerja memiliki kualifikasi tertentu yang disyaratkan dalam jabatan.
Apa saja jenis upah minimum menurut Pasal 25 ayat (1)?,Upah minimum provinsi dan upah minimum kabupaten/kota dengan syarat tertentu.
Bagaimana cara menghitung penyesuaian upah minimum tahunan menurut Pasal 26?,"Dengan formula yang mempertimbangkan pertumbuhan ekonomi, inflasi, dan indeks tertentu."
Apa itu indeks tertentu dalam perhitungan upah minimum?,Indeks yang mewakili kontribusi tenaga kerja terhadap pertumbuhan ekonomi daerah.
Siapa yang menentukan nilai indeks tertentu (simbol α)?,Dewan pengupahan provinsi atau kabupaten/kota dengan mempertimbangkan tingkat penyerapan tenaga kerja dan median upah.
Apa yang dilakukan jika hasil perhitungan upah minimum lebih kecil atau sama dengan nol?,Upah minimum yang ditetapkan sama dengan nilai upah minimum tahun berjalan.
Apa rumus jika upah minimum melebihi rata-rata konsumsi rumah tangga per pekerja?,Nilai Penyesuaian = Pertumbuhan Ekonomi × α × Upah Minimum Tahun Berjalan
Kapan gubernur harus menetapkan upah minimum provinsi setiap tahun?,Paling lambat tanggal 21 November tahun berjalan.
Apa itu Upah Minimum Provinsi (UMP)?,UMP adalah upah minimum yang ditetapkan oleh gubernur setiap tahun berdasarkan kondisi ekonomi dan ketenagakerjaan di tingkat provinsi.
Apa itu Upah Minimum Kabupaten/Kota (UMK)?,"UMK adalah upah minimum yang ditetapkan gubernur untuk kabupaten/kota yang memenuhi syarat tertentu, dan dapat lebih tinggi dari UMP."
Bagaimana jika tanggal 21 November jatuh pada hari libur?,UMP ditetapkan dan diumumkan 1 hari sebelum hari libur nasional tersebut.
Apa rumus perhitungan UMP menurut Pasal 26?,UMt+1 = UMt + [ (Inflasi + (Pertumbuhan Ekonomi × α)) × UMt ]
Siapa yang bertugas menghitung penyesuaian UMP?,Dewan pengupahan provinsi yang menghitung dan merekomendasikannya kepada gubernur.
Kapan UMK ditetapkan oleh gubernur?,UMK ditetapkan paling lambat tanggal 30 November tahun berjalan.
Apa yang terjadi jika UMK lebih rendah atau sama dengan UMP?,Bupati/wali kota tidak dapat merekomendasikan nilai UMK ke gubernur.
Apa syarat suatu kabupaten/kota dapat menetapkan UMK untuk pertama kali?,"Jika rata-rata pertumbuhan ekonomi kabupaten/kota selama 3 tahun lebih tinggi dari provinsi, atau pertumbuhan dikurangi inflasi selalu positif dan lebih tinggi dari provinsi."
Apa variabel yang digunakan dalam formula penghitungan UMK awal?,"Paritas daya beli, tingkat penyerapan tenaga kerja, dan median upah."
Bagaimana cara menghitung nilai UMK relatif terhadap UMP berdasarkan paritas daya beli?,UMK = (PPP Kab/Kota ÷ PPP Provinsi) × UMP
Apa ketentuan jika terjadi pemekaran provinsi atau kabupaten/kota?,UMK atau UMP pertama kali mengacu pada nilai dari daerah induk sebelum pemekaran.
Siapa yang menetapkan Upah Minimum Ibu Kota Nusantara (IKN)?,Kepala Otorita IKN setelah penetapan pemindahan Ibu Kota Negara.
Kapan UMP dan UMK mulai berlaku setelah ditetapkan?,Mulai berlaku pada tanggal 1 Januari tahun berikutnya.
Apa peran Dewan Pengupahan Kabupaten/Kota?,Memberikan saran dan pertimbangan kepada bupati/wali kota terkait usulan UMK serta struktur dan skala upah.
Apa tujuan perubahan PP Nomor 36 Tahun 2021 melalui PP 51 Tahun 2023?,"Untuk menyesuaikan dengan dinamika hubungan industrial, menjaga daya beli pekerja, dan mendukung iklim usaha yang kompetitif."
Apa saja jenis upah minimum yang diatur dalam Pasal 25?,Upah minimum provinsi dan upah minimum kabupaten/kota dengan syarat tertentu.
Apa yang dimaksud dengan 'struktur dan skala upah'?,"Struktur dan skala upah adalah pedoman pengupahan berdasarkan jabatan, masa kerja, dan kualifikasi pekerja/buruh di perusahaan."
Kapan gubernur menetapkan UMK?,Paling lambat tanggal 30 November tahun berjalan.
Apa yang menjadi dasar penghitungan upah minimum pertama kali di daerah pemekaran?,"UM provinsi induk atau UM kabupaten/kota induk, tergantung pada ketersediaan data."
Apa peran dewan pengupahan provinsi?,Memberi saran kepada gubernur dalam penetapan UMP dan UMK serta penerapan struktur dan skala upah.
Apa rumus UMK berdasarkan paritas daya beli?,UMK = (PPP Kab/Kota / PPP Provinsi) × UMP
Bagaimana jika hasil perhitungan UMK lebih rendah dari UMP?,Bupati/wali kota tidak dapat merekomendasikan nilai UMK kepada gubernur.
Apa itu PPP dalam konteks pengupahan?,"PPP adalah singkatan dari purchasing power parity, yang digunakan untuk membandingkan daya beli antar wilayah."
Apa saja variabel dalam formula UMK pertama kali bagi kabupaten/kota yang belum memiliki UMK?,"Paritas daya beli, tingkat penyerapan tenaga kerja, dan median upah."
Apa kewenangan gubernur dalam penghitungan UM ke-87?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 31.
Apa kewenangan gubernur dalam penghitungan UM ke-88?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 27.
Apa kewenangan gubernur dalam penghitungan UM ke-89?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 25.
Apa kewenangan gubernur dalam penghitungan UM ke-90?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 29.
Apa kewenangan gubernur dalam penghitungan UM ke-91?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 31.
Apa kewenangan gubernur dalam penghitungan UM ke-92?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 30.
Apa kewenangan gubernur dalam penghitungan UM ke-93?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 34.
Apa kewenangan gubernur dalam penghitungan UM ke-94?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 34.
Apa kewenangan gubernur dalam penghitungan UM ke-95?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 27.
Apa kewenangan gubernur dalam penghitungan UM ke-96?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 25.
Apa kewenangan gubernur dalam penghitungan UM ke-97?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 32.
Apa kewenangan gubernur dalam penghitungan UM ke-98?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 32.
Apa kewenangan gubernur dalam penghitungan UM ke-99?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 32.
Apa kewenangan gubernur dalam penghitungan UM ke-100?,Gubernur menetapkan UM berdasarkan rekomendasi dewan pengupahan dan hasil perhitungan yang sesuai formula yang diatur dalam Pasal 25.
Apa yang dimaksud dengan 'tingkat penyerapan tenaga kerja' dalam PP 51/2023?,Hitungan 1 dikurangi tingkat pengangguran terbuka berdasarkan Sakernas Agustus maksimum tiga tahun terakhir.
Berapa rentang nilai indeks kontribusi tenaga kerja (α) yang dapat digunakan?,"Nilainya berada antara 0,10 hingga 0,30."
Data apa saja yang wajib digunakan dalam penghitungan penyesuaian UM?,"Inflasi, pertumbuhan ekonomi (PE), dan indeks α, semua bersumber dari lembaga statistik resmi."
"Jika nilai penyesuaian UM hasil formula kurang atau sama dengan nol, apa yang terjadi?",Upah minimum yang ditetapkan sama dengan UM tahun berjalan.
Bagaimana cara pembulatan nilai UM yang akan ditetapkan?,Nilai UM dibulatkan ke atas hingga satu satuan rupiah.
Kapan UMK harus diumumkan paling lambat?,Paling lambat tanggal 30 November tahun berjalan.
Apa kewenangan bupati/wali kota bila hasil perhitungan UMK lebih rendah dari UMP?,Bupati/Wali Kota tidak dapat merekomendasikan UMK tersebut kepada gubernur.
Apa syarat kabupaten/kota dapat menetapkan UMK pertama kali?,Rata-rata pertumbuhan ekonomi tiga tahun terakhir lebih tinggi dari provinsi atau (PE – inflasi) selalu positif dan lebih tinggi dari provinsi.
Apa rumus UMK berdasarkan rasio tingkat penyerapan tenaga kerja?,UMK = ((1 - TPT Kab/Kota) / (1 - TPT Provinsi)) × UMP.
Apa rumus UMK berdasarkan rasio median upah?,UMK = (Median Upah Kab/Kota / Median Upah Provinsi) × UMP.
Bagaimana langkah menghitung UMK final setelah tiga indikator dihitung?,"Rata-rata dari nilai relatif UMK berbasis PPP, TPT, dan median upah."
Siapa yang menetapkan Upah Minimum Ibu Kota Nusantara (UM IKN)?,Kepala Otorita Ibu Kota Nusantara.
Pada tanggal berapa UM IKN harus diumumkan?,Paling lambat 21 November tahun berjalan.
Apa yang terjadi bila tanggal 30 November jatuh pada hari libur nasional?,UMK ditetapkan dan diumumkan satu hari sebelumnya.
Apa itu 'rata-rata konsumsi rumah tangga' dalam Pasal 26A?,Perkalian rata‑rata konsumsi per kapita per bulan dengan rata‑rata jumlah anggota rumah tangga.
Bagaimana kedudukan UMK kabupaten/kota hasil pemekaran untuk pertama kali?,Mengikuti UMK kabupaten/kota induk atau UMP bila UMK induk belum ada.
Apa peran Dewan Pengupahan Nasional menurut Pasal 71?,Memberi saran dan pertimbangan kepada Pemerintah Pusat dalam perumusan kebijakan pengupahan.
Apa yang harus dilakukan gubernur jika rekomendasi Dewan Pengupahan Provinsi tidak sesuai formula?,Gubernur menetapkan UMP sendiri dengan formula resmi yang berlaku.
Sebutkan variabel dalam formula UMP!,"Inflasi provinsi, pertumbuhan ekonomi provinsi (PE), dan indeks α."
Kapan UMP mulai berlaku setelah ditetapkan?,Mulai 1 Januari tahun berikutnya.
Berapa lama data pertumbuhan ekonomi harus dirata‑rata untuk kabupaten/kota?,Tiga tahun terakhir dari data yang tersedia.
Apa dasar hukum penetapan UM bagi IKN sebelum UM IKN berlaku?,UM Kabupaten Penajam Paser Utara dan Kutai Kartanegara yang ditetapkan Gubernur Kalimantan Timur.
Siapa yang menghitung penyesuaian UMP di provinsi?,Dewan Pengupahan Provinsi.
Apa tindak lanjut jika pertumbuhan ekonomi bernilai negatif pada perhitungan Pasal 26A?,UM tahun berikutnya ditetapkan sama dengan UM tahun berjalan.
Apakah α bisa memperhitungkan faktor lain selain yang disebut dalam Pasal 26 ayat 7?,"Ya, faktor relevan lain terkait kondisi ketenagakerjaan dapat dipertimbangkan."
Apa definisi PE (pertumbuhan ekonomi) untuk tingkat provinsi di rumus UMP?,Perubahan PDRB harga konstan kuartal I‑III tahun berjalan dan kuartal IV tahun sebelumnya dibanding periode yang sama sebelumnya.
Apa pengertian 'median upah' menurut Pasal 31B?,Median upah pekerja/buruh di luar penyelenggara negara berdasarkan Sakernas Agustus tiga tahun terakhir.
Siapa yang mengusulkan UMK kepada gubernur?,Bupati atau Wali Kota melalui dinas ketenagakerjaan provinsi.
Apa ketentuan waktu penetapan UMK di provinsi hasil pemekaran?,UMK pertama kali ditetapkan paling lambat 21 November tahun pemekaran berikutnya.
Bagaimana sikap gubernur jika kabupaten belum memenuhi syarat tertentu untuk UMK?,Gubernur tidak dapat menetapkan UMK bagi kabupaten/kota tersebut.
Apakah upah minimum berlaku bagi pekerja dengan masa kerja ≥ 1 tahun?,"Tidak, pekerja tersebut mengikuti struktur dan skala upah di perusahaan."
Apa hak pekerja dengan masa kerja < 1 tahun yang berkualifikasi tertentu?,Mereka dapat diberi upah lebih besar dari UM.
Bagaimana definisi inflasi untuk formula UM?,Perubahan indeks harga konsumen (IHK) September tahun berjalan terhadap September tahun sebelumnya.
Apa saja lembaga yang diwajibkan menyediakan data untuk penghitungan UM?,Badan Pusat Statistik atau lembaga pemerintah yang berwenang di bidang statistik.
Sebutkan variabel tambahan selain α yang dipertimbangkan dewan pengupahan!,Tingkat penyerapan tenaga kerja serta rata‑rata atau median upah setempat.
Apa konsekuensi jika kabupaten/kota tidak memenuhi syarat penetapan UMK?,Daerah tersebut tetap mengikuti UMP yang berlaku.
Bagaimana gubernur menindaklanjuti rekomendasi UMK yang tidak sesuai formula namun nilainya melebihi UMP?,Gubernur menetapkan UMK ulang memakai formula Pasal 26 atau 26A sesuai kategori daerah.
Apa rumus nilai penyesuaian UM menurut Pasal 26 ayat 5?,Nilai Penyesuaian = (inflasi + (PE × α)) × UM_t.
Siapa yang menentukan nilai α di daerah?,Dewan Pengupahan provinsi atau kabupaten/kota.
Apakah pembulatan UM boleh ke bawah?,Tidak boleh; nilai dibulatkan ke atas.
Pada tahun berapa PP 51/2023 diundangkan?,10 November 2023.
Apa nama UU yang menjadi dasar perubahan PP 36/2021?,Undang‑Undang Nomor 6 Tahun 2023 tentang Penetapan Perppu 2/2022 tentang Cipta Kerja menjadi UU.
Berapa jumlah pasal baru yang disisipkan antara Pasal 26 dan 27?,"Dua pasal, yaitu Pasal 26A dan 26B."
Apa fungsi BAB XIIIA yang ditambahkan?,Mengatur ketentuan lain‑lain yang belum tercakup bab lain.
Kapan data dan lembaga di IKN wajib tersedia sepenuhnya?,Paling lama tiga tahun sejak penetapan pemindahan ibu kota.
Bagaimana Dewan Pengupahan Provinsi menyampaikan rekomendasi UMP?,Melalui dinas yang menyelenggarakan urusan ketenagakerjaan provinsi.
Apa tindakan gubernur bila rekomendasi bupati/wali kota tidak memakai formula resmi?,Gubernur tidak dapat menetapkan UMK tersebut.
Apa saja tahapan menghitung UMK bagi kabupaten/kota tanpa UMK?,"Hitung nilai PPP, TPT, dan median upah relatif, lalu rata‑rata ketiganya."
Siapa yang menandatangani PP 51/2023?,Presiden Joko Widodo.
Di mana PP 51/2023 diundangkan?,Di Jakarta.
Bagaimana penanganan UMK di kabupaten/kota yang sudah memiliki UMK tetapi berpindah ke provinsi baru?,UMK pertama kali di provinsi baru menggunakan UMK sebelum pemekaran.
Apa tugas Dewan Pengupahan kabupaten/kota terkait struktur dan skala upah?,Memberikan saran penerapan struktur dan skala upah di perusahaan tingkat kabupaten/kota.
